t,n,i,j_left,x_grid(j_left),position,velocity,E_i
0.570923,29,37,18,0.392699,0.54259,0.00361512,-0.00523202
0.570923,29,38,19,0.589049,0.641182,0.00419019,-0.00605701
0.570923,29,39,19,0.589049,0.739745,0.0047232,-0.00683044
0.570923,29,40,20,0.785398,0.838275,0.00521282,-0.00752927
0.570923,29,41,20,0.785398,0.936768,0.00565032,-0.00816368
0.570923,29,42,21,0.981748,1.03522,0.00603568,-0.0087094
0.570923,29,43,21,0.981748,1.13363,0.00636085,-0.00918054
0.570923,29,44,22,1.1781,1.232,0.0066271,-0.00955239
0.570923,29,45,22,1.1781,1.33032,0.00682737,-0.0098424
0.570923,29,46,23,1.37445,1.42859,0.00696419,-0.0100266
0.570923,29,47,23,1.37445,1.52682,0.00703181,-0.0101246
0.570923,29,48,24,1.5708,1.62499,0.0070338,-0.0101148
0.570923,29,49,24,1.5708,1.72312,0.0069661,-0.0100174
0.570923,29,50,25,1.76715,1.8212,0.00683303,-0.00981459
0.570923,29,51,25,1.76715,1.91922,0.00663253,-0.00952594
0.570923,29,52,26,1.9635,2.01721,0.00636938,-0.00913863
0.570923,29,53,26,1.9635,2.11515,0.00604373,-0.00867009
0.570923,29,54,27,2.15984,2.21304,0.00566052,-0.00811367
0.570923,29,55,27,2.15984,2.3109,0.00522218,-0.00748349
0.570923,29,56,28,2.35619,2.40872,0.00473358,-0.00677956
0.570923,29,57,28,2.35619,2.5065,0.00419937,-0.00601209
0.570923,29,58,29,2.55254,2.60426,0.00362418,-0.00518762
0.570923,29,59,29,2.55254,2.70199,0.00301463,-0.00431241
0.570923,29,60,30,2.74889,2.7997,0.00237503,-0.00339866
0.570923,29,61,30,2.74889,2.8974,0.00171356,-0.0024493
0.570923,29,62,31,2.94524,2.99508,0.00103429,-0.00148069
0.570923,29,63,31,2.94524,3.09276,0.000346339,-0.000493555
0.59061,30,0,0,-3.14159,-3.09276,-0.000336622,0.0005065
0.59061,30,1,0,-3.14159,-2.9951,-0.00100513,0.00151953
0.59061,30,2,1,-2.94524,-2.89743,-0.00166534,0.00251355
0.59061,30,3,1,-2.94524,-2.79975,-0.00230813,0.00348781
0.59061,30,4,2,-2.74889,-2.70205,-0.00292973,0.00442557
0.59061,30,5,2,-2.74889,-2.60433,-0.00352206,0.00532374
0.59061,30,6,3,-2.55254,-2.50658,-0.00408101,0.00616993
0.59061,30,7,3,-2.55254,-2.40881,-0.00460011,0.00695753
0.59061,30,8,4,-2.35619,-2.311,-0.00507486,0.00768006
0.59061,30,9,4,-2.35619,-2.21315,-0.00550078,0.00832678
0.59061,30,10,5,-2.15984,-2.11526,-0.00587305,0.00889799
0.59061,30,11,5,-2.15984,-2.01733,-0.00618947,0.00937881
0.59061,30,12,6,-1.9635,-1.91935,-0.00644499,0.00977652
0.59061,30,13,6,-1.9635,-1.82133,-0.00663981,0.0100727
0.59061,30,14,7,-1.76715,-1.72325,-0.00676888,0.0102811
0.59061,30,15,7,-1.76715,-1.62513,-0.00683467,0.010381
0.59061,30,16,8,-1.5708,-1.52695,-0.00683249,0.0103914
0.59061,30,17,8,-1.5708,-1.42873,-0.0067668,0.0102907
0.59061,30,18,9,-1.37445,-1.33045,-0.00663361,0.0101019
0.59061,30,19,9,-1.37445,-1.23213,-0.00643904,0.00980422
0.59061,30,20,10,-1.1781,-1.13375,-0.00618011,0.00942276
0.59061,30,21,10,-1.1781,-1.03534,-0.00586422,0.00893917
0.59061,30,22,11,-0.981748,-0.936876,-0.00548961,0.00837921
0.59061,30,23,11,-0.981748,-0.838375,-0.00506459,0.00772804
0.59061,30,24,12,-0.785398,-0.739835,-0.00458873,0.00701087
0.59061,30,25,12,-0.785398,-0.641262,-0.00407095,0.00621699
0.59061,30,26,13,-0.589049,-0.542659,-0.00351212,0.00537028
0.59061,30,27,13,-0.589049,-0.44403,-0.00292148,0.00446415
0.59061,30,28,14,-0.392699,-0.34538,-0.00230106,0.00352088
0.59061,30,29,14,-0.392699,-0.246712,-0.00166025,0.00253736
0.59061,30,30,15,-0.19635,-0.148032,-0.00100194,0.00153449
0.59061,30,31,15,-0.19635,-0.049345,-0.000335553,0.000511507
0.59061,30,32,16,0,0.049345,0.000335553,-0.000511507
0.59061,30,33,16,0,0.148032,0.00100194,-0.00153449
0.59061,30,34,17,0.19635,0.246712,0.00166025,-0.00253736
0.59061,30,35,17,0.19635,0.34538,0.00230106,-0.00352088
0.59061,30,36,18,0.392699,0.44403,0.00292148,-0.00446415
0.59061,30,37,18,0.392699,0.542659,0.00351212,-0.00537028
0.59061,30,38,19,0.589049,0.641262,0.00407095,-0.00621699
0.59061,30,39,19,0.589049,0.739835,0.00458873,-0.00701087
0.59061,30,40,20,0.785398,0.838375,0.00506459,-0.00772804
0.59061,30,41,20,0.785398,0.936876,0.00548961,-0.00837921
0.59061,30,42,21,0.981748,1.03534,0.00586422,-0.00893917
0.59061,30,43,21,0.981748,1.13375,0.00618011,-0.00942276
0.59061,30,44,22,1.1781,1.23213,0.00643904,-0.00980422
0.59061,30,45,22,1.1781,1.33045,0.00663361,-0.0101019
0.59061,30,46,23,1.37445,1.42873,0.0067668,-0.0102907
0.59061,30,47,23,1.37445,1.52695,0.00683249,-0.0103914
0.59061,30,48,24,1.5708,1.62513,0.00683467,-0.010381
0.59061,30,49,24,1.5708,1.72325,0.00676888,-0.0102811
0.59061,30,50,25,1.76715,1.82133,0.00663981,-0.0100727
0.59061,30,51,25,1.76715,1.91935,0.00644499,-0.00977652
0.59061,30,52,26,1.9635,2.01733,0.00618947,-0.00937881
0.59061,30,53,26,1.9635,2.11526,0.00587305,-0.00889799
0.59061,30,54,27,2.15984,2.21315,0.00550078,-0.00832678
0.59061,30,55,27,2.15984,2.311,0.00507486,-0.00768006
0.59061,30,56,28,2.35619,2.40881,0.00460011,-0.00695753
0.59061,30,57,28,2.35619,2.50658,0.00408101,-0.00616993
0.59061,30,58,29,2.55254,2.60433,0.00352206,-0.00532374
0.59061,30,59,29,2.55254,2.70205,0.00292973,-0.00442557
0.59061,30,60,30,2.74889,2.79975,0.00230813,-0.00348781
0.59061,30,61,30,2.74889,2.89743,0.00166534,-0.00251355
0.59061,30,62,31,2.94524,2.9951,0.00100513,-0.00151953
0.59061,30,63,31,2.94524,3.09276,0.000336622,-0.0005065
0.610297,31,0,0,-3.14159,-3.09277,-0.000326651,0.000519056
0.610297,31,1,0,-3.14159,-2.99512,-0.00097522,0.0015572
0.610297,31,2,1,-2.94524,-2.89746,-0.00161586,0.00257588
0.610297,31,3,1,-2.94524,-2.79979,-0.00223946,0.00357429
0.610297,31,4,2,-2.74889,-2.70211,-0.0028426,0.00453534
0.610297,31,5,2,-2.74889,-2.6044,-0.00341725,0.00545577
0.610297,31,6,3,-2.55254,-2.50666,-0.00395955,0.00632303
0.610297,31,7,3,-2.55254,-2.4089,-0.00446314,0.00713016
0.610297,31,8,4,-2.35619,-2.31109,-0.00492366,0.00787074
0.610297,31,9,4,-2.35619,-2.21325,-0.00533685,0.00853349
0.610297,31,10,5,-2.15984,-2.11537,-0.00569787,0.00911906
0.610297,31,11,5,-2.15984,-2.01745,-0.00600483,0.0096118
0.610297,31,12,6,-1.9635,-1.91947,-0.00625252,0.0100196
0.610297,31,13,6,-1.9635,-1.82145,-0.0064415,0.0103231
0.610297,31,14,7,-1.76715,-1.72338,-0.00656648,0.0105369
0.610297,31,15,7,-1.76715,-1.62526,-0.0066303,0.0106393
0.610297,31,16,8,-1.5708,-1.52708,-0.00662791,0.0106501
0.610297,31,17,8,-1.5708,-1.42886,-0.0065642,0.0105469
0.610297,31,18,9,-1.37445,-1.33058,-0.00643473,0.0103536
0.610297,31,19,9,-1.37445,-1.23225,-0.00624603,0.0100485
0.610297,31,20,10,-1.1781,-1.13387,-0.0059946,0.00965774
0.610297,31,21,10,-1.1781,-1.03545,-0.00568824,0.00916206
0.610297,31,22,11,-0.981748,-0.936981,-0.00532464,0.0085883
0.610297,31,23,11,-0.981748,-0.838471,-0.00491244,0.00792086
