t,n,i,j_left,x_grid(j_left),position,velocity,E_i
4.92175,5,44,22,1.1781,1.23633,0.0107717,-0.0180635
4.92175,5,45,22,1.1781,1.33467,0.01106,-0.018607
4.92175,5,46,23,1.37445,1.43314,0.0113128,-0.0189347
4.92175,5,47,23,1.37445,1.53129,0.0113826,-0.019115
4.92175,5,48,24,1.5708,1.62958,0.011418,-0.0190748
4.92175,5,49,24,1.5708,1.72755,0.0112684,-0.0188868
4.92175,5,50,25,1.76715,1.82564,0.0110839,-0.0184834
4.92175,5,51,25,1.76715,1.92344,0.0107223,-0.017936
4.92175,5,52,26,1.9635,2.02134,0.0103239,-0.017188
4.92175,5,53,26,1.9635,2.11899,0.00976539,-0.0163038
4.92175,5,54,27,2.15984,2.2167,0.00916806,-0.0152423
4.92175,5,55,27,2.15984,2.31422,0.0084346,-0.0140563
4.92175,5,56,28,2.35619,2.41177,0.0076613,-0.0127232
4.92175,5,57,28,2.35619,2.50918,0.00678079,-0.0112815
4.92175,5,58,29,2.55254,2.60659,0.00586201,-0.00972787
4.92175,5,59,29,2.55254,2.70392,0.00486707,-0.00808591
4.92175,5,60,30,2.74889,2.80123,0.00383957,-0.00636968
4.92175,5,61,30,2.74889,2.8985,0.00276636,-0.00459006
4.92175,5,62,31,2.94524,2.99574,0.00167166,-0.00277432
4.92175,5,63,31,2.94524,3.09298,0.000558721,-0.000924626
5.9061,6,0,0,-3.14159,-3.09264,0.000351435,0.000244864
5.9061,6,1,0,-3.14159,-2.9947,0.00105924,0.000734731
5.9061,6,2,1,-2.94524,-2.89677,0.00175187,0.00121337
5.9061,6,3,1,-2.94524,-2.79883,0.00243042,0.00168069
5.9061,6,4,2,-2.74889,-2.70087,0.0030923,0.00212671
5.9061,6,5,2,-2.74889,-2.60294,0.00371362,0.00255037
5.9061,6,6,3,-2.55254,-2.50492,0.00432421,0.0029442
5.9061,6,7,3,-2.55254,-2.40698,0.00486282,0.00330582
5.9061,6,8,4,-2.35619,-2.3089,0.00540176,0.00363095
5.9061,6,9,4,-2.35619,-2.21096,0.00583572,0.0039159
5.9061,6,10,5,-2.15984,-2.1128,0.00628331,0.00415973
5.9061,6,11,5,-2.15984,-2.01485,0.0065951,0.00435779
5.9061,6,12,6,-1.9635,-1.91661,0.00693306,0.00451218
5.9061,6,13,6,-1.9635,-1.81864,0.00711023,0.00461783
5.9061,6,14,7,-1.76715,-1.72034,0.00732275,0.00467924
5.9061,6,15,7,-1.76715,-1.62233,0.00735826,0.00469154
