t,n,i,position,velocity,E_i
5.59111,71,0,0.92874,1.74092,-0.0123862
5.59111,71,1,1.78678,-0.381013,-0.080593
5.59111,71,2,0.150772,-0.154905,0.105379
5.59111,71,3,-2.35514,-0.0645811,-0.0123998
5.66986,72,0,1.06582,1.74077,0.00194415
5.66986,72,1,1.75732,-0.37415,-0.0871499
5.66986,72,2,0.137947,-0.162863,0.101048
5.66986,72,3,-2.36013,-0.0633336,-0.015842
5.74861,73,0,1.2028,1.73948,0.0162729
5.74861,73,1,1.72844,-0.366776,-0.0936393
5.74861,73,2,0.124523,-0.170473,0.0966382
5.74861,73,3,-2.365,-0.061816,-0.0192718
5.82736,74,0,1.33959,1.73707,0.0305891
5.82736,74,1,1.70017,-0.358896,-0.100056
5.82736,74,2,0.110527,-0.17773,0.0921537
5.82736,74,3,-2.36972,-0.0600294,-0.0226867
5.9061,75,0,1.47611,1.73354,0.0448816
5.9061,75,1,1.67257,-0.350518,-0.106395
5.9061,75,2,0.0959878,-0.184628,0.0875978
5.9061,75,3,-2.37429,-0.0579754,-0.0260841
5.98485,76,0,1.6124,1.73081,0.0346565
5.98485,76,1,1.64552,-0.343575,-0.0881693
5.98485,76,2,0.0809342,-0.191162,0.082974
5.98485,76,3,-2.37867,-0.0556554,-0.0294612
6.0636,77,0,1.74875,1.73146,-0.00824904
6.0636,77,1,1.61869,-0.340644,-0.0372214
6.0636,77,2,0.0653951,-0.197327,0.0782858
6.0636,77,3,-2.38285,-0.0530712,-0.0328154
6.14235,78,0,1.88557,1.73741,-0.0755989
6.14235,78,1,1.59163,-0.343652,0.0382062
6.14235,78,2,0.0494,-0.203118,0.073537
6.14235,78,3,-2.38681,-0.0502249,-0.0361443
6.2211,79,0,2.02295,1.74453,-0.0903125
6.2211,79,1,1.56419,-0.348458,0.0610265
6.2211,79,2,0.0329786,-0.20853,0.0687312
6.2211,79,3,-2.39052,-0.0471187,-0.0394451
6.29984,80,0,2.16082,1.75083,-0.0800806
6.29984,80,1,1.53638,-0.353098,0.0589238
6.29984,80,2,0.0161612,-0.21356,0.0638721
6.29984,80,3,-2.39396,-0.0437549,-0.0427154
6.37859,81,0,2.29911,1.756,-0.0656527
6.37859,81,1,1.50825,-0.357244,0.0526417
6.37859,81,2,-0.00102187,-0.218203,0.0589635
6.37859,81,3,-2.39712,-0.0401363,-0.0459525
6.45734,82,0,2.43771,1.76003,-0.0511739
6.45734,82,1,1.47983,-0.360891,0.0463187
6.45734,82,2,-0.0185399,-0.222456,0.0540092
6.45734,82,3,-2.39998,-0.0362655,-0.049154
6.53609,83,0,2.57653,1.76292,-0.0366554
6.53609,83,1,1.45116,-0.364038,0.0399598
6.53609,83,2,-0.0363618,-0.226316,0.049013
6.53609,83,3,-2.40251,-0.0321456,-0.0523174
6.61484,84,0,2.7155,1.76466,-0.0221085
6.61484,84,1,1.42229,-0.366682,0.03357
6.61484,84,2,-0.0544565,-0.229779,0.0439788
6.61484,84,3,-2.4047,-0.0277798,-0.0554403
6.69358,85,0,2.85451,1.76525,-0.00754453
6.69358,85,1,1.39324,-0.36882,0.0271541
6.69358,85,2,-0.0727924,-0.232843,0.0389106
6.69358,85,3,-2.40652,-0.0231714,-0.0585201
6.77233,86,0,2.99347,1.7647,0.00702533
6.77233,86,1,1.36407,-0.370451,0.0207172
6.77233,86,2,-0.0913381,-0.235506,0.0338121
6.77233,86,3,-2.40797,-0.0183241,-0.0615547
6.85108,87,0,3.13236,1.76367,0.0130625
6.85108,87,1,1.33484,-0.371162,0.00902896
6.85108,87,2,-0.110064,-0.237793,0.0290381
6.85108,87,3,-2.40907,-0.0139694,-0.0552998
6.92983,88,0,-3.01215,1.76099,0.0340807
6.92983,88,1,1.30569,-0.370212,-0.0120726
6.92983,88,2,-0.128946,-0.239775,0.0251784
6.92983,88,3,-2.40997,-0.0114798,-0.0316149
7.00858,89,0,-2.87386,1.75618,0.0610113
7.00858,89,1,1.27657,-0.369771,-0.00559709
7.00858,89,2,-0.147946,-0.241277,0.0190617
7.00858,89,3,-2.41052,-0.00694611,-0.0575716
7.08732,90,0,-2.73596,1.75105,0.0651594
7.08732,90,1,1.24748,-0.36937,-0.00508573
7.08732,90,2,-0.167028,-0.242316,0.0131991
7.08732,90,3,-2.41061,-0.00117602,-0.0732728
7.16607,91,0,-2.59856,1.74493,0.0778034
7.16607,91,1,1.21847,-0.368463,-0.0115226
7.16607,91,2,-0.186159,-0.242947,0.00801295
7.16607,91,3,-2.41024,0.00467447,-0.0742938
7.24482,92,0,-2.4616,1.73916,0.0732791
7.24482,92,1,1.18956,-0.367049,-0.0179505
7.24482,92,2,-0.205308,-0.243169,0.00282056
7.24482,92,3,-2.40951,0.0092536,-0.0581491
7.32357,93,0,-2.32487,1.73631,0.0361573
7.32357,93,1,1.16081,-0.365131,-0.0243645
7.32357,93,2,-0.224443,-0.242982,-0.00237402
7.32357,93,3,-2.40873,0.00999531,-0.00941883
7.40232,94,0,-2.18806,1.73736,-0.0133337
7.40232,94,1,1.13225,-0.362709,-0.0307596
7.40232,94,2,-0.24353,-0.242386,-0.00756676
7.40232,94,3,-2.40826,0.00592718,0.0516601
7.48106,95,0,-2.05094,1.74122,-0.0491047
7.48106,95,1,1.10392,-0.359785,-0.0371309
7.48106,95,2,-0.262538,-0.241382,-0.0127536
7.48106,95,3,-2.40841,-0.00186803,0.0989892
7.55981,96,0,-1.91354,1.74478,-0.045131
7.55981,96,1,1.07585,-0.356361,-0.0434734
7.55981,96,2,-0.281436,-0.23997,-0.0179306
7.55981,96,3,-2.40921,-0.0102574,0.106535
7.63856,97,0,-1.77595,1.7472,-0.0307572
7.63856,97,1,1.0481,-0.352441,-0.0497822
7.63856,97,2,-0.30019,-0.238151,-0.0230937
7.63856,97,3,-2.41066,-0.0184183,0.103633
7.71731,98,0,-1.63826,1.74849,-0.0163596
7.71731,98,1,1.02069,-0.348027,-0.0560524
7.71731,98,2,-0.318768,-0.235928,-0.0282389
7.71731,98,3,-2.41274,-0.0263444,0.100651
7.79606,99,0,-1.50056,1.74864,-0.00194924
7.79606,99,1,0.993673,-0.343123,-0.0622791
7.79606,99,2,-0.33714,-0.2333,-0.0333622
7.79606,99,3,-2.41542,-0.0340295,0.0975905
7.8748,100,0,-1.36293,1.74766,0.0124626
7.8748,100,1,0.967077,-0.337732,-0.0684576
7.8748,100,2,-0.355274,-0.230272,-0.0384596
7.8748,100,3,-2.41868,-0.0414676,0.0944546
7.95355,101,0,-1.22548,1.74555,0.0268648
7.95355,101,1,0.940944,-0.331858,-0.074583
7.95355,101,2,-0.373137,-0.226844,-0.0435273
7.95355,101,3,-2.42252,-0.048653,0.0912455
8.0323,102,0,-1.08827,1.7423,0.0412461
8.0323,102,1,0.915311,-0.325507,-0.0806506
8.0323,102,2,-0.3907,-0.22302,-0.0485612
8.0323,102,3,-2.42689,-0.0555801,0.0879656
8.11105,103,0,-0.951415,1.73792,0.0555955
8.11105,103,1,0.890215,-0.318683,-0.0866557
8.11105,103,2,-0.40793,-0.218802,-0.0535574
8.11105,103,3,-2.43179,-0.0622436,0.0846176
8.1898,104,0,-0.814991,1.73241,0.0699018
8.1898,104,1,0.865693,-0.311392,-0.0925936
8.1898,104,2,-0.424797,-0.214195,-0.0585121
8.1898,104,3,-2.4372,-0.0686382,0.0812039
8.26855,105,0,-0.679088,1.72579,0.0841538
8.26855,105,1,0.841783,-0.303638,-0.0984597
8.26855,105,2,-0.441271,-0.2092,-0.0634215
8.26855,105,3,-2.44309,-0.0747591,0.0777274
8.34729,106,0,-0.543714,1.71908,0.0851914
8.34729,106,1,0.818518,-0.295429,-0.10425
8.34729,106,2,-0.457404,-0.204859,-0.0551324
8.34729,106,3,-2.44943,-0.0806015,0.0741905
8.42604,107,0,-0.408696,1.71456,0.0574421
8.42604,107,1,0.795936,-0.28677,-0.109959
8.42604,107,2,-0.473424,-0.203435,-0.0180797
8.42604,107,3,-2.45622,-0.0861608,0.0705962
8.50479,108,0,-0.273654,1.71487,-0.00400067
8.50479,108,1,0.77407,-0.277668,-0.115582
8.50479,108,2,-0.48977,-0.20758,0.0526358
8.50479,108,3,-2.46342,-0.0914327,0.0669471
8.58354,109,0,-0.138387,1.71772,-0.0361891
8.58354,109,1,0.752955,-0.26813,-0.121116
8.58354,109,2,-0.5067,-0.214987,0.0940594
8.58354,109,3,-2.47101,-0.0964133,0.0632461
8.66229,110,0,-0.00286122,1.721,-0.0416249
8.66229,110,1,0.732625,-0.258164,-0.126557
8.66229,110,2,-0.524304,-0.223546,0.108685
8.66229,110,3,-2.47897,-0.101098,0.0594962
8.74103,111,0,0.132835,1.72316,-0.0274852
8.74103,111,1,0.713113,-0.247777,-0.131899
8.74103,111,2,-0.542551,-0.231711,0.103684
8.74103,111,3,-2.48728,-0.105485,0.0557
8.81978,112,0,0.268613,1.72421,-0.0133241
8.81978,112,1,0.694452,-0.236978,-0.137139
8.81978,112,2,-0.561409,-0.239475,0.0986022
8.81978,112,3,-2.49591,-0.109569,0.0518608
8.89853,113,0,0.404386,1.72415,0.000847206
8.89853,113,1,0.676672,-0.225774,-0.142273
8.89853,113,2,-0.580847,-0.246834,0.093444
8.89853,113,3,-2.50483,-0.113347,0.0479813
8.97728,114,0,0.540086,1.72322,0.0117822
8.97728,114,1,0.659786,-0.21443,-0.14406
8.97728,114,2,-0.600831,-0.253781,0.0882134
8.97728,114,3,-2.51403,-0.116817,0.0440646
9.05603,115,0,0.675897,1.72463,-0.0179649
9.05603,115,1,0.643552,-0.206156,-0.105063
9.05603,115,2,-0.62133,-0.26031,0.0829143
9.05603,115,3,-2.52348,-0.119976,0.0401138
9.13477,116,0,0.812149,1.73022,-0.0709926
9.13477,116,1,0.627582,-0.202794,-0.0426903
9.13477,116,2,-0.64231,-0.266417,0.077551
9.13477,116,3,-2.53315,-0.122821,0.0361318
9.21352,117,0,0.949158,1.73984,-0.122122
9.21352,117,1,0.611502,-0.204202,0.0178727
9.21352,117,2,-0.663737,-0.272097,0.0721276
9.21352,117,3,-2.54302,-0.125351,0.0321219
9.29227,118,0,1.08693,1.74949,-0.122576
9.29227,118,1,0.595249,-0.206394,0.0278402
9.29227,118,2,-0.685578,-0.277345,0.0666483
9.29227,118,3,-2.55307,-0.127563,0.0280871
9.37102,119,0,1.22538,1.75816,-0.110019
9.37102,119,1,0.578841,-0.208353,0.024871
9.37102,119,2,-0.707797,-0.282158,0.0611173
9.37102,119,3,-2.56326,-0.129455,0.0240304
9.44977,120,0,1.36442,1.76568,-0.0955132
9.44977,120,1,0.56231,-0.209929,0.0200191
9.44977,120,2,-0.730361,-0.286532,0.0555389
9.44977,120,3,-2.57358,-0.131026,0.0199552
9.52851,121,0,1.50397,1.77205,-0.0809337
9.52851,121,1,0.545684,-0.211122,0.0151517
9.52851,121,2,-0.753234,-0.290463,0.0499175
9.52851,121,3,-2.584,-0.132276,0.0158645
9.60726,122,0,1.64392,1.77727,-0.0662915
9.60726,122,1,0.528995,-0.211931,0.0102726
9.60726,122,2,-0.776382,-0.293948,0.0442574
9.60726,122,3,-2.59449,-0.133202,0.0117615
9.68601,123,0,1.7842,1.78133,-0.0515978
9.68601,123,1,0.512272,-0.212356,0.00538552
9.68601,123,2,-0.799769,-0.296985,0.0385629
9.68601,123,3,-2.60502,-0.133804,0.00764938
9.76476,124,0,1.92471,1.78424,-0.0368642
9.76476,124,1,0.495547,-0.212394,0.000494252
9.76476,124,2,-0.82336,-0.299571,0.0328386
9.76476,124,3,-2.61558,-0.134082,0.00353133
9.84351,125,0,2.06535,1.78598,-0.022102
9.84351,125,1,0.478848,-0.212048,-0.0043974
9.84351,125,2,-0.847118,-0.301704,0.0270889
9.84351,125,3,-2.62614,-0.134036,-0.000589453
9.92225,126,0,2.20604,1.78655,-0.00732266
9.92225,126,1,0.462208,-0.211317,-0.00928564
9.92225,126,2,-0.871009,-0.303382,0.0213181
9.92225,126,3,-2.63666,-0.133665,-0.00470978
10.001,127,0,2.34668,1.78597,0.00746236
10.001,127,1,0.445655,-0.210201,-0.0141667
10.001,127,2,-0.894996,-0.304605,0.0155308
10.001,127,3,-2.64713,-0.13297,-0.00882646
10.0798,128,0,2.48718,1.78422,0.0222416
10.0798,128,1,0.42922,-0.208702,-0.0190368
10.0798,128,2,-0.919043,-0.305372,0.00973146
10.0798,128,3,-2.65753,-0.131951,-0.0129363
10.1585,129,0,2.62746,1.7813,0.0370036
10.1585,129,1,0.412933,-0.206821,-0.0238921
10.1585,129,2,-0.943115,-0.305681,0.00392458
10.1585,129,3,-2.66781,-0.13061,-0.0170361
10.2372,130,0,2.76741,1.77723,0.0517369
