t,n,i,position,velocity,E_i
2.91368,37,3,2.46475,-0.190666,-0.027972
2.99243,38,0,2.22069,0.916103,0.11887
2.99243,38,1,0.29272,0.132472,0.084028
2.99243,38,2,3.07387,1.45459,-0.16428
2.99243,38,3,2.44997,-0.18765,-0.0383088
3.07117,39,0,2.2923,0.909333,0.0859736
3.07117,39,1,0.302674,0.126412,0.0769539
3.07117,39,2,3.18914,1.46384,-0.117493
3.07117,39,3,2.43552,-0.183533,-0.0522766
3.14992,40,0,2.36357,0.905077,0.0540456
3.14992,40,1,0.312181,0.120722,0.0722516
3.14992,40,2,-2.97816,1.47154,-0.0977762
3.14992,40,3,2.42136,-0.179777,-0.0476957
3.22867,41,0,2.4345,0.9007,0.0555829
3.22867,41,1,0.321253,0.115197,0.0701623
3.22867,41,2,-2.86147,1.4818,-0.130294
3.22867,41,3,2.40718,-0.18016,0.00486617
3.30742,42,0,2.50529,0.898938,0.0223793
3.30742,42,1,0.329912,0.109968,0.0664108
3.30742,42,2,-2.74394,1.49244,-0.13508
3.30742,42,3,2.3927,-0.183805,0.0462901
3.38617,43,0,2.57619,0.900285,-0.0171071
3.38617,43,1,0.338189,0.105102,0.0617901
3.38617,43,2,-2.62564,1.50237,-0.126093
3.38617,43,3,2.37772,-0.190216,0.0814096
3.46491,44,0,2.64737,0.903936,-0.0463604
3.46491,44,1,0.346111,0.100604,0.0571215
3.46491,44,2,-2.5066,1.51158,-0.117007
3.46491,44,3,2.36208,-0.198583,0.106246
3.54366,45,0,2.71887,0.90796,-0.0511107
3.54366,45,1,0.353708,0.0964765,0.0524086
3.54366,45,2,-2.3869,1.52007,-0.107831
3.54366,45,3,2.34578,-0.206972,0.106533
3.62241,46,0,2.79068,0.91185,-0.0493988
3.62241,46,1,0.36101,0.0927237,0.0476551
3.62241,46,2,-2.26659,1.52784,-0.0985714
3.62241,46,3,2.32886,-0.214872,0.100315
3.70116,47,0,2.86277,0.915483,-0.0461262
3.70116,47,1,0.368046,0.0893482,0.0428646
3.70116,47,2,-2.14572,1.53486,-0.0892353
3.70116,47,3,2.31137,-0.222156,0.0924968
3.77991,48,0,2.93513,0.918855,-0.0428178
3.77991,48,1,0.374846,0.0863525,0.038041
3.77991,48,2,-2.02436,1.54115,-0.07983
3.77991,48,3,2.29335,-0.228818,0.0846069
3.85865,49,0,3.00773,0.921963,-0.0394762
3.85865,49,1,0.381441,0.0837391,0.0331878
3.85865,49,2,-1.90256,1.54669,-0.0703629
3.85865,49,3,2.27486,-0.234855,0.0766513
3.9374,50,0,3.08054,0.924559,-0.0329667
3.9374,50,1,0.387871,0.0816592,0.0264122
3.9374,50,2,-1.78044,1.55074,-0.0513807
3.9374,50,3,2.25601,-0.239369,0.0573245
4.01615,51,0,3.15354,0.927016,-0.0311995
4.01615,51,1,0.394182,0.0801446,0.0192335
4.01615,51,2,-1.65812,1.55326,-0.032111
4.01615,51,3,2.23693,-0.242226,0.0362878
4.0949,52,0,-3.05643,0.929723,-0.0343778
4.0949,52,1,0.400415,0.0791439,0.0127077
4.0949,52,2,-1.53571,1.55448,-0.0154136
4.0949,52,3,2.21775,-0.243637,0.0179089
4.17365,53,0,-2.98309,0.93137,-0.0209071
4.17365,53,1,0.406585,0.0783547,0.0100211
4.17365,53,2,-1.41318,1.55594,-0.0185137
4.17365,53,3,2.19841,-0.245586,0.0247577
4.25239,54,0,-2.90963,0.932831,-0.0185526
4.25239,54,1,0.412709,0.0777719,0.0074014
4.25239,54,2,-1.29054,1.55737,-0.0182395
4.25239,54,3,2.17888,-0.24792,0.029633
4.33114,55,0,-2.83606,0.93432,-0.0189114
4.33114,55,1,0.418811,0.0774819,0.00368211
4.33114,55,2,-1.16782,1.55839,-0.012875
4.33114,55,3,2.15919,-0.250133,0.0281043
4.40989,56,0,-2.76238,0.935535,-0.0154238
4.40989,56,1,0.42492,0.0775815,-0.00126457
4.40989,56,2,-1.04508,1.55864,-0.00324437
4.40989,56,3,2.13936,-0.251703,0.0199327
4.48864,57,0,-2.68864,0.936474,-0.0119242
4.48864,57,1,0.431068,0.0780705,-0.00621027
4.48864,57,2,-0.922383,1.55814,0.00638877
4.48864,57,3,2.11947,-0.252628,0.0117457
4.56739,58,0,-2.61484,0.937136,-0.00841541
4.56739,58,1,0.437285,0.0789487,-0.0111511
4.56739,58,2,-0.799782,1.55688,0.0160169
4.56739,58,3,2.09955,-0.252907,0.00354961
4.64613,59,0,-2.54101,0.937522,-0.00490007
4.64613,59,1,0.443602,0.0802152,-0.0160834
4.64613,59,2,-0.67734,1.55486,0.0256327
4.64613,59,3,2.07967,-0.252541,-0.00464925
4.72488,60,0,-2.46718,0.937631,-0.00138094
4.72488,60,1,0.450049,0.0818692,-0.0210032
4.72488,60,2,-0.555116,1.55209,0.0352286
4.72488,60,3,2.05986,-0.251529,-0.0128445
4.80363,61,0,-2.39335,0.937463,0.00213927
4.80363,61,1,0.456657,0.0839093,-0.0259067
4.80363,61,2,-0.43317,1.54856,0.0447972
4.80363,61,3,2.04018,-0.249873,-0.0210298
4.88238,62,0,-2.31956,0.937017,0.00565782
4.88238,62,1,0.463456,0.0863339,-0.0307901
4.88238,62,2,-0.311562,1.54428,0.0543311
4.88238,62,3,2.02069,-0.247574,-0.0291988
4.96113,63,0,-2.24583,0.936295,0.00917198
4.96113,63,1,0.470475,0.0891413,-0.0356496
4.96113,63,2,-0.190348,1.53925,0.0638228
4.96113,63,3,2.00142,-0.244633,-0.0373452
5.03988,64,0,-2.17218,0.935296,0.012679
5.03988,64,1,0.477746,0.0923291,-0.0404815
5.03988,64,2,-0.0695895,1.53348,0.0732651
5.03988,64,3,1.98244,-0.241053,-0.0454626
5.11862,65,0,-2.09863,0.934022,0.0161763
5.11862,65,1,0.485298,0.095895,-0.045282
5.11862,65,2,0.0506568,1.52697,0.0826506
5.11862,65,3,1.96379,-0.236837,-0.0535448
5.19737,66,0,-2.0252,0.932474,0.0196609
5.19737,66,1,0.493159,0.0998361,-0.0500475
5.19737,66,2,0.170333,1.51973,0.091972
5.19737,66,3,1.94552,-0.231987,-0.0615855
5.27612,67,0,-1.95191,0.930653,0.0231304
5.27612,67,1,0.501361,0.104149,-0.0547741
5.27612,67,2,0.289381,1.51176,0.101222
5.27612,67,3,1.92768,-0.226508,-0.0695784
5.35487,68,0,-1.87879,0.928559,0.0265819
5.35487,68,1,0.509802,0.107196,-0.0386848
5.35487,68,2,0.407873,1.5047,0.0896203
5.35487,68,3,1.91033,-0.220403,-0.0775174
5.43362,69,0,-1.80585,0.926196,0.0300128
5.43362,69,1,0.518349,0.108527,-0.0169022
5.43362,69,2,0.525918,1.49901,0.0722857
5.43362,69,3,1.8935,-0.213679,-0.0853963
5.51236,70,0,-1.73312,0.923564,0.0334205
5.51236,70,1,0.526689,0.105912,0.0332057
5.51236,70,2,0.643797,1.49692,0.0265829
5.51236,70,3,1.87725,-0.206339,-0.093209
5.59111,71,0,-1.66062,0.920666,0.0368022
5.59111,71,1,0.534567,0.100036,0.0746145
5.59111,71,2,0.761741,1.49774,-0.0104672
5.59111,71,3,1.86163,-0.198389,-0.100949
5.66986,72,0,-1.58837,0.917504,0.0401554
5.66986,72,1,0.541764,0.0914008,0.109658
5.66986,72,2,0.879941,1.50099,-0.0412019
5.66986,72,3,1.84668,-0.189836,-0.108612
5.74861,73,0,-1.51639,0.91408,0.0434775
5.74861,73,1,0.548259,0.0824712,0.113395
5.74861,73,2,0.998393,1.50419,-0.0406826
5.74861,73,3,1.83245,-0.180686,-0.11619
5.82736,74,0,-1.4447,0.910397,0.0467659
5.82736,74,1,0.55408,0.0739273,0.108497
5.82736,74,2,1.11704,1.50668,-0.0315855
5.82736,74,3,1.81899,-0.170947,-0.123678
5.9061,75,0,-1.37331,0.906459,0.050018
5.9061,75,1,0.55926,0.0657756,0.103516
5.9061,75,2,1.23583,1.50845,-0.0224638
5.9061,75,3,1.80634,-0.160625,-0.13107
5.98485,76,0,-1.30226,0.902267,0.0532314
5.98485,76,1,0.563829,0.0580226,0.0984537
5.98485,76,2,1.3547,1.5095,-0.0133248
5.98485,76,3,1.79455,-0.14973,-0.13836
6.0636,77,0,-1.23156,0.897825,0.0564035
6.0636,77,1,0.56782,0.0506742,0.0933155
6.0636,77,2,1.47359,1.50983,-0.00417544
6.0636,77,3,1.78366,-0.138269,-0.145543
6.14235,78,0,-1.16123,0.893137,0.0595318
6.14235,78,1,0.571264,0.0437361,0.0881049
6.14235,78,2,1.59246,1.50943,0.00497716
6.14235,78,3,1.77372,-0.12625,-0.152614
6.2211,79,0,-1.09128,0.888206,0.0626141
6.2211,79,1,0.574194,0.0372137,0.0828261
6.2211,79,2,1.7113,1.50915,0.0036572
6.2211,79,3,1.7647,-0.114509,-0.149097
6.29984,80,0,-1.02175,0.883037,0.0656478
6.29984,80,1,0.576644,0.0311121,0.077483
6.29984,80,2,1.83044,1.51294,-0.0482023
6.29984,80,3,1.75627,-0.107034,-0.0949284
6.37859,81,0,-0.952635,0.877632,0.0686306
6.37859,81,1,0.578647,0.0254359,0.0720799
6.37859,81,2,1.95021,1.5209,-0.101052
6.37859,81,3,1.74809,-0.103911,-0.0396589
6.45734,82,0,-0.883967,0.871997,0.0715602
6.45734,82,1,0.580237,0.0201896,0.0666209
6.45734,82,2,2.0709,1.5326,-0.148635
6.45734,82,3,1.73984,-0.104734,0.0104538
