t,n,j,x_grid,rho,phi,E_j,Q_net
5.34559,48,17,0.19635,0.0625,0.00567378,0.0122718,-1.30795e-16
5.34559,48,18,0.392699,0.0625,0.00205943,0.0245437,-1.30795e-16
5.34559,48,19,0.589049,0.0625,-0.0039645,0.0368155,-1.30795e-16
5.34559,48,20,0.785398,0.0625,-0.012398,0.0490874,-1.30795e-16
5.34559,48,21,0.981748,0.0625,-0.0232411,0.0613592,-1.30795e-16
5.34559,48,22,1.1781,0.0625,-0.0364937,0.0736311,-1.30795e-16
5.34559,48,23,1.37445,-0.86636,-0.0521559,-0.00528774,-1.30795e-16
5.34559,48,24,1.5708,-0.00863952,-0.0344172,-0.0911907,-1.30795e-16
5.34559,48,25,1.76715,0.0625,-0.0163454,-0.0859029,-1.30795e-16
5.34559,48,26,1.9635,0.0625,-0.000683225,-0.0736311,-1.30795e-16
5.34559,48,27,2.15984,0.0625,0.0125694,-0.0613592,-1.30795e-16
5.34559,48,28,2.35619,0.0625,0.0234125,-0.0490874,-1.30795e-16
5.34559,48,29,2.55254,0.0625,0.031846,-0.0368155,-1.30795e-16
5.34559,48,30,2.74889,0.0625,0.0378699,-0.0245437,-1.30795e-16
5.34559,48,31,2.94524,0.0625,0.0414843,-0.0122718,-1.30795e-16
5.34559,48,32,3.14159,0.0625,0.0426891,-5.30092e-17,-1.30795e-16
5.45696,49,0,-3.14159,0.0625,0.0407252,-8.83487e-17,6.81224e-17
5.45696,49,1,-2.94524,0.0625,0.0395204,0.0122718,6.81224e-17
5.45696,49,2,-2.74889,0.0625,0.035906,0.0245437,6.81224e-17
5.45696,49,3,-2.55254,0.0625,0.0298821,0.0368155,6.81224e-17
5.45696,49,4,-2.35619,0.0625,0.0214486,0.0490874,6.81224e-17
5.45696,49,5,-2.15984,0.0625,0.0106055,0.0613592,6.81224e-17
5.45696,49,6,-1.9635,0.0625,-0.00264712,0.0736311,6.81224e-17
5.45696,49,7,-1.76715,0.0625,-0.0183093,0.0859029,6.81224e-17
5.45696,49,8,-1.5708,-0.117311,-0.0363811,0.0805218,6.81224e-17
5.45696,49,9,-1.37445,-0.757689,-0.0499302,-0.00538109,6.81224e-17
5.45696,49,10,-1.1781,0.0625,-0.034268,-0.0736311,6.81224e-17
5.45696,49,11,-0.981748,0.0625,-0.0210153,-0.0613592,6.81224e-17
5.45696,49,12,-0.785398,0.0625,-0.0101723,-0.0490874,6.81224e-17
5.45696,49,13,-0.589049,0.0625,-0.00173876,-0.0368155,6.81224e-17
5.45696,49,14,-0.392699,0.0625,0.00428517,-0.0245437,6.81224e-17
5.45696,49,15,-0.19635,0.0625,0.00789953,-0.0122718,6.81224e-17
5.45696,49,16,0,0.0625,0.00910432,3.53395e-17,6.81224e-17
5.45696,49,17,0.19635,0.0625,0.00789953,0.0122718,6.81224e-17
5.45696,49,18,0.392699,0.0625,0.00428517,0.0245437,6.81224e-17
5.45696,49,19,0.589049,0.0625,-0.00173876,0.0368155,6.81224e-17
5.45696,49,20,0.785398,0.0625,-0.0101723,0.0490874,6.81224e-17
5.45696,49,21,0.981748,0.0625,-0.0210153,0.0613592,6.81224e-17
5.45696,49,22,1.1781,0.0625,-0.034268,0.0736311,6.81224e-17
5.45696,49,23,1.37445,-0.757689,-0.0499302,0.00538109,6.81224e-17
5.45696,49,24,1.5708,-0.117311,-0.0363811,-0.0805218,6.81224e-17
5.45696,49,25,1.76715,0.0625,-0.0183093,-0.0859029,6.81224e-17
5.45696,49,26,1.9635,0.0625,-0.00264712,-0.0736311,6.81224e-17
5.45696,49,27,2.15984,0.0625,0.0106055,-0.0613592,6.81224e-17
5.45696,49,28,2.35619,0.0625,0.0214486,-0.0490874,6.81224e-17
5.45696,49,29,2.55254,0.0625,0.0298821,-0.0368155,6.81224e-17
5.45696,49,30,2.74889,0.0625,0.035906,-0.0245437,6.81224e-17
5.45696,49,31,2.94524,0.0625,0.0395204,-0.0122718,6.81224e-17
5.45696,49,32,3.14159,0.0625,0.0407252,-8.83487e-17,6.81224e-17
5.56833,50,0,-3.14159,0.0625,0.0387498,-8.83487e-17,4.63233e-17
5.56833,50,1,-2.94524,0.0625,0.037545,0.0122718,4.63233e-17
5.56833,50,2,-2.74889,0.0625,0.0339306,0.0245437,4.63233e-17
5.56833,50,3,-2.55254,0.0625,0.0279067,0.0368155,4.63233e-17
5.56833,50,4,-2.35619,0.0625,0.0194732,0.0490874,4.63233e-17
5.56833,50,5,-2.15984,0.0625,0.00863014,0.0613592,4.63233e-17
5.56833,50,6,-1.9635,0.0625,-0.0046225,0.0736311,4.63233e-17
5.56833,50,7,-1.76715,0.0625,-0.0202847,0.0859029,4.63233e-17
5.56833,50,8,-1.5708,-0.226619,-0.0383565,0.0697906,4.63233e-17
5.56833,50,9,-1.37445,-0.648381,-0.0476914,-0.0161123,4.63233e-17
5.56833,50,10,-1.1781,0.0625,-0.0320292,-0.0736311,4.63233e-17
5.56833,50,11,-0.981748,0.0625,-0.0187766,-0.0613592,4.63233e-17
5.56833,50,12,-0.785398,0.0625,-0.00793349,-0.0490874,4.63233e-17
5.56833,50,13,-0.589049,0.0625,0.000500012,-0.0368155,4.63233e-17
5.56833,50,14,-0.392699,0.0625,0.00652394,-0.0245437,4.63233e-17
5.56833,50,15,-0.19635,0.0625,0.0101383,-0.0122718,4.63233e-17
5.56833,50,16,0,0.0625,0.0113431,4.41744e-17,4.63233e-17
5.56833,50,17,0.19635,0.0625,0.0101383,0.0122718,4.63233e-17
5.56833,50,18,0.392699,0.0625,0.00652394,0.0245437,4.63233e-17
5.56833,50,19,0.589049,0.0625,0.000500012,0.0368155,4.63233e-17
5.56833,50,20,0.785398,0.0625,-0.00793349,0.0490874,4.63233e-17
5.56833,50,21,0.981748,0.0625,-0.0187766,0.0613592,4.63233e-17
5.56833,50,22,1.1781,0.0625,-0.0320292,0.0736311,4.63233e-17
5.56833,50,23,1.37445,-0.648381,-0.0476914,0.0161123,4.63233e-17
5.56833,50,24,1.5708,-0.226619,-0.0383565,-0.0697906,4.63233e-17
5.56833,50,25,1.76715,0.0625,-0.0202847,-0.0859029,4.63233e-17
5.56833,50,26,1.9635,0.0625,-0.0046225,-0.0736311,4.63233e-17
5.56833,50,27,2.15984,0.0625,0.00863014,-0.0613592,4.63233e-17
5.56833,50,28,2.35619,0.0625,0.0194732,-0.0490874,4.63233e-17
5.56833,50,29,2.55254,0.0625,0.0279067,-0.0368155,4.63233e-17
5.56833,50,30,2.74889,0.0625,0.0339306,-0.0245437,4.63233e-17
5.56833,50,31,2.94524,0.0625,0.037545,-0.0122718,4.63233e-17
5.56833,50,32,3.14159,0.0625,0.0387498,-8.83487e-17,4.63233e-17
5.67969,51,0,-3.14159,0.0625,0.0367644,-7.0679e-17,-1.30795e-16
5.67969,51,1,-2.94524,0.0625,0.0355597,0.0122718,-1.30795e-16
5.67969,51,2,-2.74889,0.0625,0.0319453,0.0245437,-1.30795e-16
5.67969,51,3,-2.55254,0.0625,0.0259214,0.0368155,-1.30795e-16
5.67969,51,4,-2.35619,0.0625,0.0174879,0.0490874,-1.30795e-16
5.67969,51,5,-2.15984,0.0625,0.0066448,0.0613592,-1.30795e-16
5.67969,51,6,-1.9635,0.0625,-0.00660784,0.0736311,-1.30795e-16
5.67969,51,7,-1.76715,0.0625,-0.0222701,0.0859029,-1.30795e-16
5.67969,51,8,-1.5708,-0.336478,-0.0403418,0.0590052,-1.30795e-16
5.67969,51,9,-1.37445,-0.538522,-0.0454414,-0.0268977,-1.30795e-16
5.67969,51,10,-1.1781,0.0625,-0.0297791,-0.0736311,-1.30795e-16
5.67969,51,11,-0.981748,0.0625,-0.0165265,-0.0613592,-1.30795e-16
5.67969,51,12,-0.785398,0.0625,-0.00568343,-0.0490874,-1.30795e-16
5.67969,51,13,-0.589049,0.0625,0.00275007,-0.0368155,-1.30795e-16
5.67969,51,14,-0.392699,0.0625,0.00877399,-0.0245437,-1.30795e-16
5.67969,51,15,-0.19635,0.0625,0.0123884,-0.0122718,-1.30795e-16
5.67969,51,16,0,0.0625,0.0135931,3.09221e-17,-1.30795e-16
5.67969,51,17,0.19635,0.0625,0.0123884,0.0122718,-1.30795e-16
5.67969,51,18,0.392699,0.0625,0.00877399,0.0245437,-1.30795e-16
5.67969,51,19,0.589049,0.0625,0.00275007,0.0368155,-1.30795e-16
5.67969,51,20,0.785398,0.0625,-0.00568343,0.0490874,-1.30795e-16
5.67969,51,21,0.981748,0.0625,-0.0165265,0.0613592,-1.30795e-16
5.67969,51,22,1.1781,0.0625,-0.0297791,0.0736311,-1.30795e-16
5.67969,51,23,1.37445,-0.538522,-0.0454414,0.0268977,-1.30795e-16
5.67969,51,24,1.5708,-0.336478,-0.0403418,-0.0590052,-1.30795e-16
5.67969,51,25,1.76715,0.0625,-0.0222701,-0.0859029,-1.30795e-16
5.67969,51,26,1.9635,0.0625,-0.00660784,-0.0736311,-1.30795e-16
5.67969,51,27,2.15984,0.0625,0.0066448,-0.0613592,-1.30795e-16
5.67969,51,28,2.35619,0.0625,0.0174879,-0.0490874,-1.30795e-16
5.67969,51,29,2.55254,0.0625,0.0259214,-0.0368155,-1.30795e-16
5.67969,51,30,2.74889,0.0625,0.0319453,-0.0245437,-1.30795e-16
5.67969,51,31,2.94524,0.0625,0.0355597,-0.0122718,-1.30795e-16
5.67969,51,32,3.14159,0.0625,0.0367644,-7.0679e-17,-1.30795e-16
5.79106,52,0,-3.14159,0.0625,0.0347707,-1.06018e-16,-1.30795e-16
5.79106,52,1,-2.94524,0.0625,0.0335659,0.0122718,-1.30795e-16
5.79106,52,2,-2.74889,0.0625,0.0299515,0.0245437,-1.30795e-16
5.79106,52,3,-2.55254,0.0625,0.0239276,0.0368155,-1.30795e-16
5.79106,52,4,-2.35619,0.0625,0.0154941,0.0490874,-1.30795e-16
5.79106,52,5,-2.15984,0.0625,0.00465104,0.0613592,-1.30795e-16
5.79106,52,6,-1.9635,0.0625,-0.0086016,0.0736311,-1.30795e-16
5.79106,52,7,-1.76715,0.0625,-0.0242638,0.0859029,-1.30795e-16
5.79106,52,8,-1.5708,-0.446802,-0.0423356,0.0481742,-1.30795e-16
5.79106,52,9,-1.37445,-0.428198,-0.0431818,-0.0377288,-1.30795e-16
5.79106,52,10,-1.1781,0.0625,-0.0275196,-0.0736311,-1.30795e-16
5.79106,52,11,-0.981748,0.0625,-0.0142669,-0.0613592,-1.30795e-16
5.79106,52,12,-0.785398,0.0625,-0.00342384,-0.0490874,-1.30795e-16
5.79106,52,13,-0.589049,0.0625,0.00500966,-0.0368155,-1.30795e-16
5.79106,52,14,-0.392699,0.0625,0.0110336,-0.0245437,-1.30795e-16
5.79106,52,15,-0.19635,0.0625,0.0146479,-0.0122718,-1.30795e-16
5.79106,52,16,0,0.0625,0.0158527,2.20872e-17,-1.30795e-16
5.79106,52,17,0.19635,0.0625,0.0146479,0.0122718,-1.30795e-16
5.79106,52,18,0.392699,0.0625,0.0110336,0.0245437,-1.30795e-16
5.79106,52,19,0.589049,0.0625,0.00500966,0.0368155,-1.30795e-16
5.79106,52,20,0.785398,0.0625,-0.00342384,0.0490874,-1.30795e-16
5.79106,52,21,0.981748,0.0625,-0.0142669,0.0613592,-1.30795e-16
5.79106,52,22,1.1781,0.0625,-0.0275196,0.0736311,-1.30795e-16
5.79106,52,23,1.37445,-0.428198,-0.0431818,0.0377288,-1.30795e-16
5.79106,52,24,1.5708,-0.446802,-0.0423356,-0.0481742,-1.30795e-16
5.79106,52,25,1.76715,0.0625,-0.0242638,-0.0859029,-1.30795e-16
5.79106,52,26,1.9635,0.0625,-0.0086016,-0.0736311,-1.30795e-16
5.79106,52,27,2.15984,0.0625,0.00465104,-0.0613592,-1.30795e-16
5.79106,52,28,2.35619,0.0625,0.0154941,-0.0490874,-1.30795e-16
5.79106,52,29,2.55254,0.0625,0.0239276,-0.0368155,-1.30795e-16
5.79106,52,30,2.74889,0.0625,0.0299515,-0.0245437,-1.30795e-16
5.79106,52,31,2.94524,0.0625,0.0335659,-0.0122718,-1.30795e-16
5.79106,52,32,3.14159,0.0625,0.0347707,-1.06018e-16,-1.30795e-16
5.90243,53,0,-3.14159,0.0625,0.03277,-7.0679e-17,-1.30795e-16
5.90243,53,1,-2.94524,0.0625,0.0315653,0.0122718,-1.30795e-16
5.90243,53,2,-2.74889,0.0625,0.0279509,0.0245437,-1.30795e-16
5.90243,53,3,-2.55254,0.0625,0.021927,0.0368155,-1.30795e-16
5.90243,53,4,-2.35619,0.0625,0.0134935,0.0490874,-1.30795e-16
5.90243,53,5,-2.15984,0.0625,0.0026504,0.0613592,-1.30795e-16
5.90243,53,6,-1.9635,0.0625,-0.0106022,0.0736311,-1.30795e-16
5.90243,53,7,-1.76715,0.0625,-0.0262645,0.0859029,-1.30795e-16
5.90243,53,8,-1.5708,-0.557507,-0.0443362,0.0373057,-1.30795e-16
5.90243,53,9,-1.37445,-0.317493,-0.0409144,-0.0485972,-1.30795e-16
5.90243,53,10,-1.1781,0.0625,-0.0252522,-0.0736311,-1.30795e-16
5.90243,53,11,-0.981748,0.0625,-0.0119995,-0.0613592,-1.30795e-16
5.90243,53,12,-0.785398,0.0625,-0.00115645,-0.0490874,-1.30795e-16
5.90243,53,13,-0.589049,0.0625,0.00727705,-0.0368155,-1.30795e-16
5.90243,53,14,-0.392699,0.0625,0.013301,-0.0245437,-1.30795e-16
5.90243,53,15,-0.19635,0.0625,0.0169153,-0.0122718,-1.30795e-16
5.90243,53,16,0,0.0625,0.0181201,3.53395e-17,-1.30795e-16
5.90243,53,17,0.19635,0.0625,0.0169153,0.0122718,-1.30795e-16
5.90243,53,18,0.392699,0.0625,0.013301,0.0245437,-1.30795e-16
5.90243,53,19,0.589049,0.0625,0.00727705,0.0368155,-1.30795e-16
5.90243,53,20,0.785398,0.0625,-0.00115645,0.0490874,-1.30795e-16
5.90243,53,21,0.981748,0.0625,-0.0119995,0.0613592,-1.30795e-16
5.90243,53,22,1.1781,0.0625,-0.0252522,0.0736311,-1.30795e-16
5.90243,53,23,1.37445,-0.317493,-0.0409144,0.0485972,-1.30795e-16
5.90243,53,24,1.5708,-0.557507,-0.0443362,-0.0373057,-1.30795e-16
5.90243,53,25,1.76715,0.0625,-0.0262645,-0.0859029,-1.30795e-16
5.90243,53,26,1.9635,0.0625,-0.0106022,-0.0736311,-1.30795e-16
5.90243,53,27,2.15984,0.0625,0.0026504,-0.0613592,-1.30795e-16
5.90243,53,28,2.35619,0.0625,0.0134935,-0.0490874,-1.30795e-16
5.90243,53,29,2.55254,0.0625,0.021927,-0.0368155,-1.30795e-16
5.90243,53,30,2.74889,0.0625,0.0279509,-0.0245437,-1.30795e-16
5.90243,53,31,2.94524,0.0625,0.0315653,-0.0122718,-1.30795e-16
5.90243,53,32,3.14159,0.0625,0.03277,-7.0679e-17,-1.30795e-16
6.01379,54,0,-3.14159,0.0625,0.0307641,-2.65046e-17,-1.30795e-16
6.01379,54,1,-2.94524,0.0625,0.0295593,0.0122718,-1.30795e-16
6.01379,54,2,-2.74889,0.0625,0.0259449,0.0245437,-1.30795e-16
6.01379,54,3,-2.55254,0.0625,0.019921,0.0368155,-1.30795e-16
6.01379,54,4,-2.35619,0.0625,0.0114875,0.0490874,-1.30795e-16
6.01379,54,5,-2.15984,0.0625,0.000644446,0.0613592,-1.30795e-16
6.01379,54,6,-1.9635,0.0625,-0.0126082,0.0736311,-1.30795e-16
6.01379,54,7,-1.76715,0.0625,-0.0282704,0.0859029,-1.30795e-16
6.01379,54,8,-1.5708,-0.668506,-0.0463422,0.0264084,-1.30795e-16
6.01379,54,9,-1.37445,-0.206494,-0.038641,-0.0594945,-1.30795e-16
6.01379,54,10,-1.1781,0.0625,-0.0229787,-0.0736311,-1.30795e-16
6.01379,54,11,-0.981748,0.0625,-0.00972611,-0.0613592,-1.30795e-16
6.01379,54,12,-0.785398,0.0625,0.00111697,-0.0490874,-1.30795e-16
6.01379,54,13,-0.589049,0.0625,0.00955047,-0.0368155,-1.30795e-16
6.01379,54,14,-0.392699,0.0625,0.0155744,-0.0245437,-1.30795e-16
6.01379,54,15,-0.19635,0.0625,0.0191888,-0.0122718,-1.30795e-16
6.01379,54,16,0,0.0625,0.0203935,3.53395e-17,-1.30795e-16
6.01379,54,17,0.19635,0.0625,0.0191888,0.0122718,-1.30795e-16
6.01379,54,18,0.392699,0.0625,0.0155744,0.0245437,-1.30795e-16
6.01379,54,19,0.589049,0.0625,0.00955047,0.0368155,-1.30795e-16
6.01379,54,20,0.785398,0.0625,0.00111697,0.0490874,-1.30795e-16
6.01379,54,21,0.981748,0.0625,-0.00972611,0.0613592,-1.30795e-16
6.01379,54,22,1.1781,0.0625,-0.0229787,0.0736311,-1.30795e-16
6.01379,54,23,1.37445,-0.206494,-0.038641,0.0594945,-1.30795e-16
6.01379,54,24,1.5708,-0.668506,-0.0463422,-0.0264084,-1.30795e-16
6.01379,54,25,1.76715,0.0625,-0.0282704,-0.0859029,-1.30795e-16
6.01379,54,26,1.9635,0.0625,-0.0126082,-0.0736311,-1.30795e-16
6.01379,54,27,2.15984,0.0625,0.000644446,-0.0613592,-1.30795e-16
6.01379,54,28,2.35619,0.0625,0.0114875,-0.0490874,-1.30795e-16
6.01379,54,29,2.55254,0.0625,0.019921,-0.0368155,-1.30795e-16
6.01379,54,30,2.74889,0.0625,0.0259449,-0.0245437,-1.30795e-16
6.01379,54,31,2.94524,0.0625,0.0295593,-0.0122718,-1.30795e-16
6.01379,54,32,3.14159,0.0625,0.0307641,-2.65046e-17,-1.30795e-16
6.12516,55,0,-3.14159,0.0625,0.0287544,-8.83487e-17,2.45241e-17
6.12516,55,1,-2.94524,0.0625,0.0275496,0.0122718,2.45241e-17
6.12516,55,2,-2.74889,0.0625,0.0239352,0.0245437,2.45241e-17
6.12516,55,3,-2.55254,0.0625,0.0179113,0.0368155,2.45241e-17
6.12516,55,4,-2.35619,0.0625,0.00947779,0.0490874,2.45241e-17
6.12516,55,5,-2.15984,0.0625,-0.00136528,0.0613592,2.45241e-17
6.12516,55,6,-1.9635,0.0625,-0.0146179,0.0736311,2.45241e-17
6.12516,55,7,-1.76715,0.0625,-0.0302801,0.0859029,2.45241e-17
6.12516,55,8,-1.5708,-0.779714,-0.0483519,0.0154906,2.45241e-17
6.12516,55,9,-1.37445,-0.0952857,-0.0363633,-0.0704123,2.45241e-17
6.12516,55,10,-1.1781,0.0625,-0.0207011,-0.0736311,2.45241e-17
6.12516,55,11,-0.981748,0.0625,-0.00744842,-0.0613592,2.45241e-17
6.12516,55,12,-0.785398,0.0625,0.00339466,-0.0490874,2.45241e-17
6.12516,55,13,-0.589049,0.0625,0.0118282,-0.0368155,2.45241e-17
6.12516,55,14,-0.392699,0.0625,0.0178521,-0.0245437,2.45241e-17
6.12516,55,15,-0.19635,0.0625,0.0214664,-0.0122718,2.45241e-17
6.12516,55,16,0,0.0625,0.0226712,2.65046e-17,2.45241e-17
6.12516,55,17,0.19635,0.0625,0.0214664,0.0122718,2.45241e-17
6.12516,55,18,0.392699,0.0625,0.0178521,0.0245437,2.45241e-17
6.12516,55,19,0.589049,0.0625,0.0118282,0.0368155,2.45241e-17
6.12516,55,20,0.785398,0.0625,0.00339466,0.0490874,2.45241e-17
6.12516,55,21,0.981748,0.0625,-0.00744842,0.0613592,2.45241e-17
6.12516,55,22,1.1781,0.0625,-0.0207011,0.0736311,2.45241e-17
6.12516,55,23,1.37445,-0.0952857,-0.0363633,0.0704123,2.45241e-17
6.12516,55,24,1.5708,-0.779714,-0.0483519,-0.0154906,2.45241e-17
6.12516,55,25,1.76715,0.0625,-0.0302801,-0.0859029,2.45241e-17
6.12516,55,26,1.9635,0.0625,-0.0146179,-0.0736311,2.45241e-17
6.12516,55,27,2.15984,0.0625,-0.00136528,-0.0613592,2.45241e-17
6.12516,55,28,2.35619,0.0625,0.00947779,-0.0490874,2.45241e-17
6.12516,55,29,2.55254,0.0625,0.0179113,-0.0368155,2.45241e-17
6.12516,55,30,2.74889,0.0625,0.0239352,-0.0245437,2.45241e-17
6.12516,55,31,2.94524,0.0625,0.0275496,-0.0122718,2.45241e-17
6.12516,55,32,3.14159,0.0625,0.0287544,-8.83487e-17,2.45241e-17
6.23653,56,0,-3.14159,0.0625,0.0267424,-1.67863e-16,4.63233e-17
