t,n,i,j_left,x_grid(j_left),position,velocity,E_i
9.24342,83,0,5,-2.15984,-2.10046,-0.146809,0.0331039
9.24342,83,1,26,1.9635,2.10046,0.146809,-0.0331039
9.35479,84,0,5,-2.15984,-2.1164,-0.143123,0.0341001
9.35479,84,1,26,1.9635,2.1164,0.143123,-0.0341001
9.46616,85,0,5,-2.15984,-2.13191,-0.139325,0.0350699
9.46616,85,1,26,1.9635,2.13191,0.139325,-0.0350699
9.57752,86,0,5,-2.15984,-2.147,-0.13542,0.0360124
9.57752,86,1,26,1.9635,2.147,0.13542,-0.0360124
9.68889,87,0,4,-2.35619,-2.16163,-0.131409,0.0369271
9.68889,87,1,27,2.15984,2.16163,0.131409,-0.0369271
9.80026,88,0,4,-2.35619,-2.17581,-0.127297,0.0378131
9.80026,88,1,27,2.15984,2.17581,0.127297,-0.0378131
9.91162,89,0,4,-2.35619,-2.18951,-0.123085,0.0386699
9.91162,89,1,27,2.15984,2.18951,0.123085,-0.0386699
10.023,90,0,4,-2.35619,-2.20274,-0.118779,0.0394966
10.023,90,1,27,2.15984,2.20274,0.118779,-0.0394966
10.1344,91,0,4,-2.35619,-2.21548,-0.11438,0.0402927
10.1344,91,1,27,2.15984,2.21548,0.11438,-0.0402927
10.2457,92,0,4,-2.35619,-2.22772,-0.109893,0.0410576
10.2457,92,1,27,2.15984,2.22772,0.109893,-0.0410576
10.3571,93,0,4,-2.35619,-2.23945,-0.105321,0.0417907
10.3571,93,1,27,2.15984,2.23945,0.105321,-0.0417907
10.4685,94,0,4,-2.35619,-2.25066,-0.100666,0.0424914
10.4685,94,1,27,2.15984,2.25066,0.100666,-0.0424914
10.5798,95,0,4,-2.35619,-2.26134,-0.0959344,0.0431591
10.5798,95,1,27,2.15984,2.26134,0.0959344,-0.0431591
10.6912,96,0,4,-2.35619,-2.27149,-0.0911279,0.0437934
10.6912,96,1,27,2.15984,2.27149,0.0911279,-0.0437934
10.8026,97,0,4,-2.35619,-2.2811,-0.0862508,0.0443938
10.8026,97,1,27,2.15984,2.2811,0.0862508,-0.0443938
10.9139,98,0,4,-2.35619,-2.29015,-0.0813068,0.0449597
10.9139,98,1,27,2.15984,2.29015,0.0813068,-0.0449597
11.0253,99,0,4,-2.35619,-2.29865,-0.0762998,0.0454908
11.0253,99,1,27,2.15984,2.29865,0.0762998,-0.0454908
11.1367,100,0,4,-2.35619,-2.30658,-0.0712336,0.0459866
11.1367,100,1,27,2.15984,2.30658,0.0712336,-0.0459866
11.248,101,0,4,-2.35619,-2.31394,-0.0661123,0.0464468
11.248,101,1,27,2.15984,2.31394,0.0661123,-0.0464468
11.3594,102,0,4,-2.35619,-2.32073,-0.0609396,0.0468709
11.3594,102,1,27,2.15984,2.32073,0.0609396,-0.0468709
11.4708,103,0,4,-2.35619,-2.32694,-0.0557198,0.0472588
11.4708,103,1,27,2.15984,2.32694,0.0557198,-0.0472588
11.5821,104,0,4,-2.35619,-2.33256,-0.0504567,0.04761
11.5821,104,1,27,2.15984,2.33256,0.0504567,-0.04761
11.6935,105,0,4,-2.35619,-2.33758,-0.0451546,0.0479242
11.6935,105,1,27,2.15984,2.33758,0.0451546,-0.0479242
11.8049,106,0,4,-2.35619,-2.34202,-0.0398174,0.0482014
11.8049,106,1,27,2.15984,2.34202,0.0398174,-0.0482014
11.9162,107,0,4,-2.35619,-2.34586,-0.0344494,0.0484412
11.9162,107,1,27,2.15984,2.34586,0.0344494,-0.0484412
12.0276,108,0,4,-2.35619,-2.34909,-0.0290547,0.0486434
12.0276,108,1,27,2.15984,2.34909,0.0290547,-0.0486434
12.139,109,0,4,-2.35619,-2.35172,-0.0236374,0.0488079
12.139,109,1,27,2.15984,2.35172,0.0236374,-0.0488079
12.2503,110,0,4,-2.35619,-2.35375,-0.0182019,0.0489346
12.2503,110,1,27,2.15984,2.35375,0.0182019,-0.0489346
12.3617,111,0,4,-2.35619,-2.35517,-0.0127522,0.0490234
