n,KE,PE,E
462,0.130294,0.00673025,0.137024
463,0.126653,0.00748099,0.134134
464,0.122866,0.00825894,0.131125
465,0.118946,0.00906283,0.128009
466,0.114906,0.00989011,0.124796
467,0.110758,0.0107382,0.121496
468,0.106515,0.0116043,0.118119
469,0.102191,0.0124857,0.114676
470,0.097799,0.0133797,0.111179
471,0.0933535,0.0142833,0.107637
472,0.0888682,0.0151938,0.104062
473,0.0843576,0.0161081,0.100466
474,0.0798356,0.0170235,0.0968592
475,0.0753168,0.0179371,0.0932539
476,0.0708154,0.0188458,0.0896612
477,0.0663457,0.0197468,0.0860926
478,0.0619219,0.0206373,0.0825592
479,0.0575579,0.0215145,0.0790723
480,0.0532676,0.0223754,0.075643
481,0.0490646,0.0232175,0.0722821
482,0.0449622,0.024038,0.0690002
483,0.0409735,0.0248344,0.0658079
484,0.0371111,0.025604,0.0627151
485,0.0333873,0.0263445,0.0597318
486,0.0298139,0.0270534,0.0568674
487,0.0264023,0.0277286,0.0541309
488,0.0231632,0.0283679,0.0515312
489,0.0201071,0.0289693,0.0490764
490,0.0172435,0.0295301,0.0467736
491,0.0145817,0.0300437,0.0446254
492,0.0121302,0.0305145,0.0426447
493,0.00989666,0.0309411,0.0408377
494,0.00788816,0.031322,0.0392102
495,0.00611105,0.0316561,0.0377672
496,0.00457095,0.0319423,0.0365133
497,0.00327273,0.0321797,0.0354525
498,0.00222051,0.0323676,0.0345881
499,0.00141765,0.0325053,0.0339229
